method,category,scenario,score
IMPACT World+ 20 Midpoint,Water scarcity,"offsite_electricity, alternative",5.926229162499567
IMPACT World+ 20 Midpoint,Human toxicity cancer,"offsite_electricity, alternative",2.4344868558269168e-06
IMPACT World+ 20 Midpoint,Terrestrial acidification,"offsite_electricity, alternative",3.943307107882947
IMPACT World+ 20 Midpoint,Marine eutrophication,"offsite_electricity, alternative",0.11199369473305575
IMPACT World+ 20 Midpoint,Freshwater acidification,"offsite_electricity, alternative",3.7205013666950344
IMPACT World+ 20 Midpoint,Particulate matter formation,"offsite_electricity, alternative",0.1824035107219265
IMPACT World+ 20 Midpoint,Freshwater ecotoxicity,"offsite_electricity, alternative",9119.284133104666
IMPACT World+ 20 Midpoint,Freshwater eutrophication,"offsite_electricity, alternative",0.018278679669619772
IMPACT World+ 20 Midpoint,"Land occupation, biodiversity","offsite_electricity, alternative",0.5795240602337445
IMPACT World+ 20 Midpoint,Human toxicity non-cancer,"offsite_electricity, alternative",5.38258952069756e-06
IMPACT World+ 20 Midpoint,"Land transformation, biodiversity","offsite_electricity, alternative",0.04444411619476035
IMPACT World+ 20 Midpoint,Terrestrial acidification,"offsite_heat, baseline",0.48038980122321817
IMPACT World+ 20 Midpoint,Freshwater ecotoxicity,"offsite_heat, baseline",1107.5243416119358
IMPACT World+ 20 Midpoint,Particulate matter formation,"offsite_heat, baseline",0.022192636412783722
IMPACT World+ 20 Midpoint,Freshwater eutrophication,"offsite_heat, baseline",0.0022408628783387374
IMPACT World+ 20 Midpoint,Water scarcity,"offsite_heat, baseline",0.6897432027489572
IMPACT World+ 20 Midpoint,Human toxicity cancer,"offsite_heat, baseline",2.9649859005669097e-07
IMPACT World+ 20 Midpoint,Human toxicity non-cancer,"offsite_heat, baseline",6.474050263564297e-07
IMPACT World+ 20 Midpoint,"Land transformation, biodiversity","offsite_heat, baseline",0.005444161560313977
IMPACT World+ 20 Midpoint,Marine eutrophication,"offsite_heat, baseline",0.01362842247297243
IMPACT World+ 20 Midpoint,"Land occupation, biodiversity","offsite_heat, baseline",0.07028270272856454
IMPACT World+ 20 Midpoint,Freshwater acidification,"offsite_heat, baseline",0.45325065356981165
IMPACT World+ 20 Midpoint,Freshwater acidification,"offsite_electricity, baseline",233.6454022573592
IMPACT World+ 20 Midpoint,Human toxicity non-cancer,"offsite_electricity, baseline",0.0003315520446758169
IMPACT World+ 20 Midpoint,Terrestrial acidification,"offsite_electricity, baseline",247.6410209743965
IMPACT World+ 20 Midpoint,Human toxicity cancer,"offsite_electricity, baseline",0.00015258689305380554
IMPACT World+ 20 Midpoint,"Land occupation, biodiversity","offsite_electricity, baseline",36.08007000492884
IMPACT World+ 20 Midpoint,Marine eutrophication,"offsite_electricity, baseline",7.028001819598693
IMPACT World+ 20 Midpoint,Freshwater ecotoxicity,"offsite_electricity, baseline",566828.3147539345
IMPACT World+ 20 Midpoint,Water scarcity,"offsite_electricity, baseline",354.32051900064107
IMPACT World+ 20 Midpoint,"Land transformation, biodiversity","offsite_electricity, baseline",2.7832740495825528
IMPACT World+ 20 Midpoint,Particulate matter formation,"offsite_electricity, baseline",11.435973897943775
IMPACT World+ 20 Midpoint,Freshwater eutrophication,"offsite_electricity, baseline",1.1451802414192018
IMPACT World+ 20 Midpoint,Terrestrial acidification,"offsite_heat, alternative",4.993679063971065
IMPACT World+ 20 Midpoint,"Land transformation, biodiversity","offsite_heat, alternative",0.05614314455771249
IMPACT World+ 20 Midpoint,Water scarcity,"offsite_heat, alternative",7.152843776897953
IMPACT World+ 20 Midpoint,Freshwater acidification,"offsite_heat, alternative",4.711443616712057
IMPACT World+ 20 Midpoint,Particulate matter formation,"offsite_heat, alternative",0.23080895725642572
IMPACT World+ 20 Midpoint,Human toxicity cancer,"offsite_heat, alternative",3.0781890623571404e-06
IMPACT World+ 20 Midpoint,"Land occupation, biodiversity","offsite_heat, alternative",0.7686095104778112
IMPACT World+ 20 Midpoint,Marine eutrophication,"offsite_heat, alternative",0.14172018098248457
IMPACT World+ 20 Midpoint,Freshwater ecotoxicity,"offsite_heat, alternative",11443.420922153
IMPACT World+ 20 Midpoint,Freshwater eutrophication,"offsite_heat, alternative",0.02309161876888142
IMPACT World+ 20 Midpoint,Human toxicity non-cancer,"offsite_heat, alternative",6.691665034808194e-06
